Year,Series,Education level,Institution type,Value
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,88
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,89
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,93
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,94
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,93
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,All Institutions,96
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,87
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,94
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,94
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,94
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,All Institutions,98
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,75
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,78
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,81
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,82
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,83
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,84
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,84
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,84
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,84
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,87
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,Public Institutions,85
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,83
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,83
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2025,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Lower Secondary,Public Institutions,85
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Upper Secondary,Public Institutions,79
