Year,Series,Units,Value
2018,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.05
2019,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.03
2020,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.03
2021,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.03
2010,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.03
2011,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.02
2012,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.03
2013,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.05
2014,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.06
2015,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.05
2016,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.05
2017,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.05
2018,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.04
2019,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.03
2020,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.03
2021,3. Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,millions of tonnes,0.03
2010,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,2.59
2011,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,2.57
2012,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,2.72
2013,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,2.37
2014,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,2.36
2015,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.66
2016,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.35
2017,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.52
2018,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.55
2019,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.66
2020,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.61
2021,4. Total carbon dioxide emissions from fuel combustion (millions of tonnes),millions of tonnes,1.62
2010,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.34
2011,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.34
2012,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.35
2013,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.29
2014,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.28
2015,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.19
2016,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.15
2017,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.15
2018,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.15
2019,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.18
2020,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.17
2021,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.18
2022,5. CO2 emission per unit of value added (kilogrammes of CO2 emissions per Euro),kgs of CO2 emissions per Euro,0.21
