Year,Value,Units,Series
2015,30.2,Percentage (%),4. Tax revenue as a percentage of GDP
2016,32.1,Percentage (%),4. Tax revenue as a percentage of GDP
2017,31.6,Percentage (%),4. Tax revenue as a percentage of GDP
2018,31.0,Percentage (%),4. Tax revenue as a percentage of GDP
2019,30.6,Percentage (%),4. Tax revenue as a percentage of GDP
2020,28.3,Percentage (%),4. Tax revenue as a percentage of GDP
2021,27.9,Percentage (%),4. Tax revenue as a percentage of GDP
2022,28.4,Percentage (%),4. Tax revenue as a percentage of GDP
2023,26.6,Percentage (%),4. Tax revenue as a percentage of GDP
2024,29.2,Percentage (%),4. Tax revenue as a percentage of GDP
2025,29.9,Percentage (%),4. Tax revenue as a percentage of GDP
2010,-6.0,Percentage (%),5. Current account balance as a proportion of GDP
2011,-2.0,Percentage (%),5. Current account balance as a proportion of GDP
2012,-0.4,Percentage (%),5. Current account balance as a proportion of GDP
2013,0.1,Percentage (%),5. Current account balance as a proportion of GDP
2014,5.5,Percentage (%),5. Current account balance as a proportion of GDP
2015,2.6,Percentage (%),5. Current account balance as a proportion of GDP
2016,-0.6,Percentage (%),5. Current account balance as a proportion of GDP
2017,18.9,Percentage (%),5. Current account balance as a proportion of GDP
2018,13.3,Percentage (%),5. Current account balance as a proportion of GDP
2019,17.9,Percentage (%),5. Current account balance as a proportion of GDP
2020,16.0,Percentage (%),5. Current account balance as a proportion of GDP
2021,9.4,Percentage (%),5. Current account balance as a proportion of GDP
2022,-2.9,Percentage (%),5. Current account balance as a proportion of GDP
2023,6.5,Percentage (%),5. Current account balance as a proportion of GDP
2024,7.1,Percentage (%),5. Current account balance as a proportion of GDP
2010,17.7,Percentage (%),6. Annual growth of exports of goods and services
2011,9.1,Percentage (%),6. Annual growth of exports of goods and services
2012,7.5,Percentage (%),6. Annual growth of exports of goods and services
2013,2.4,Percentage (%),6. Annual growth of exports of goods and services
2014,6.1,Percentage (%),6. Annual growth of exports of goods and services
2015,24.0,Percentage (%),6. Annual growth of exports of goods and services
2016,8.1,Percentage (%),6. Annual growth of exports of goods and services
2017,16.0,Percentage (%),6. Annual growth of exports of goods and services
2018,13.2,Percentage (%),6. Annual growth of exports of goods and services
2019,7.2,Percentage (%),6. Annual growth of exports of goods and services
2020,3.8,Percentage (%),6. Annual growth of exports of goods and services
2021,6.7,Percentage (%),6. Annual growth of exports of goods and services
2022,14.3,Percentage (%),6. Annual growth of exports of goods and services
2023,10.2,Percentage (%),6. Annual growth of exports of goods and services
2024,7.6,Percentage (%),6. Annual growth of exports of goods and services
2010,15.0,Percentage (%),7. Annual growth of imports of goods and services
2011,6.6,Percentage (%),7. Annual growth of imports of goods and services
2012,8.1,Percentage (%),7. Annual growth of imports of goods and services
2013,-2.5,Percentage (%),7. Annual growth of imports of goods and services
2014,2.1,Percentage (%),7. Annual growth of imports of goods and services
2015,32.0,Percentage (%),7. Annual growth of imports of goods and services
2016,6.7,Percentage (%),7. Annual growth of imports of goods and services
2017,9.2,Percentage (%),7. Annual growth of imports of goods and services
2018,16.4,Percentage (%),7. Annual growth of imports of goods and services
2019,10.6,Percentage (%),7. Annual growth of imports of goods and services
2020,3.4,Percentage (%),7. Annual growth of imports of goods and services
2021,5.5,Percentage (%),7. Annual growth of imports of goods and services
2022,21.0,Percentage (%),7. Annual growth of imports of goods and services
2023,5.9,Percentage (%),7. Annual growth of imports of goods and services
2024,7.9,Percentage (%),7. Annual growth of imports of goods and services
2010,6419.0,Current US$ (millions),8. Net portfolio investment
2011,16214.8,Current US$ (millions),8. Net portfolio investment
2012,12106.1,Current US$ (millions),8. Net portfolio investment
2013,12041.1,Current US$ (millions),8. Net portfolio investment
2014,17571.6,Current US$ (millions),8. Net portfolio investment
2015,5421.3,Current US$ (millions),8. Net portfolio investment
2016,5277.1,Current US$ (millions),8. Net portfolio investment
2017,3877.7,Current US$ (millions),8. Net portfolio investment
2018,-5686.3,Current US$ (millions),8. Net portfolio investment
2019,-2841.2,Current US$ (millions),8. Net portfolio investment
2020,831.7,Current US$ (millions),8. Net portfolio investment
2021,-1801.5,Current US$ (millions),8. Net portfolio investment
2022,2047.9,Current US$ (millions),8. Net portfolio investment
2023,5258.8,Current US$ (millions),8. Net portfolio investment
2024,1157.0,Current US$ (millions),8. Net portfolio investment
