Year,Series,Sex,Migratory Status,Units,Value
2019,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2020,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",3.23
2020,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",1.06
2020,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",4.89
2020,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",5.48
2020,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2020,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",10.42
2020,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2020,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2020,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2021,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",4.0
2021,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2021,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",7.12
2021,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",9.76
2021,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2021,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",18.38
2021,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2021,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2021,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2022,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",6.23
2022,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2022,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",11.21
2022,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",8.08
2022,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2022,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",14.78
2022,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.01
2022,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2022,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.01
2023,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1.93
2023,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2023,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",3.38
2023,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",2.1
2023,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2023,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",3.38
2023,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2023,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2023,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2016,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",3.36
2017,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",0.45
2018,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1.69
2019,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1.19
2020,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",2.71
2021,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",3.38
2022,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",5.28
2023,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,All Migratory Statuses,"per 100,000 workers",1.65
2016,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2017,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2018,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2019,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2020,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.96
2021,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2022,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2023,"Fatal occupational injuries among workers, per 100,000 workers",Females,All Migratory Statuses,"per 100,000 workers",0.0
2016,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",5.55
2017,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",0.76
2018,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",2.84
2019,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",1.97
2020,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",3.89
2021,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",5.69
2022,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",9.02
2023,"Fatal occupational injuries among workers, per 100,000 workers",Males,All Migratory Statuses,"per 100,000 workers",2.78
2016,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",16.55
2017,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",0.0
2018,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",5.83
2019,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",3.16
2020,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",4.31
2021,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",8.09
2022,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",6.78
2023,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Migrants,"per 100,000 workers",1.85
2016,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2017,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2018,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2019,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2020,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2021,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2022,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2023,"Fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",0.0
2016,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",26.3
2017,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",4.42
2018,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",7.31
2019,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",5.55
2020,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",7.72
2021,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",14.28
2022,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",11.87
2023,"Fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",2.96
2016,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1.12
2017,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",0.0
2018,"Fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",0.54
